AMCX
ATNI
ATVI
CARS
CCOI
CHTR
CMCSA
CNK
CNSL
DIS
DISCA
DISCK
DISH
EA
FB
FOX
FOXA
GCI
GOOG
GOOGL
IPG
LUMN
LYLT
LYV
MCS
MTCH
NFLX
NWS
NWSA
OMC
QNST
SCHL
SHEN
SSP
T
THRY
TMUS
TTGT
TTWO
TWTR
VIAC
VZ
AAL
AAN
AAP
ABG
ALK
AMZN
AN
ANF
APEI
APTV
ARMK
ATGE
ATVI
AXL
AZO
BABA
BARK
BBBY
BBWI
BBY
BFAM
BIG
BJRI
BKE
BKNG
BLMN
BNED
BOOT
BURL
BWA
BWMX
BYD
CAKE
CAL
CANG
CATO
CCL
CCS
CHDN
CHGG
CHH
CHS
CHUY
CHWY
CMG
COLM
CONN
COST
COTY
CPA
CPNG
CPRI
CPRT
CPS
CRI
CRMT
CVCO
CVNA
CZR
DADA
DAL
DASH
DBI
DECK
DG
DHI
DIN
DIS
DISCA
DISCK
DKNG
DKS
DLTR
DORM
DPZ
DRI
DRVN
EA
EAT
EBAY
EL
ETD
ETSY
EXPE
F
FIGS
FIVE
FL
FLWS
FND
FOSL
FOX
FOXA
FRGI
FTCH
FTDR
FVRR
FWONA
FWONK
GCO
GES
GIII
GLBE
GM
GME
GNTX
GPC
GPI
GPS
GRMN
GRPN
H
HAS
HBI
HD
HIBB
HLT
HOG
HRB
HVT
HZO
IAA
IBP
IPG
IRBT
JBLU
JD
JWN
KMX
KSS
KTB
LAD
LCII
LE
LEA
LEG
LEN
LESL
LGIH
LKQ
LL
LOCO
LOPE
LOW
LQDT
LSXMA
LSXMK
LULU
LUV
LVS
LYFT
LYV
LZB
M
MAR
MAT
MCD
MCRI
MCW
MDC
MELI
MGM
MHO
MNRO
MOV
MPAA
MSGS
MTH
MTN
NCLH
NFLX
NKE
NLSN
NVR
NWL
NWS
NWSA
NXST
NYT
ODP
OLLI
OMC
ORLY
OSTK
OXM
OZON
PAG
PATK
PDD
PENN
PETS
PHM
PII
PLAY
PLCE
PLNT
PLTK
POOL
POSH
PRDO
PRTS
PTON
PVH
QRTEA
QS
QUOT
RCII
RCL
REAL
RGR
RH
RL
ROL
ROST
RRGB
RUTH
RVLV
SABR
SAH
SBH
SBUX
SCI
SCVL
SE
SFIX
SHAK
SHOO
SIG
SIRI
SITE
SIX
SKX
SMP
SNBR
SPOT
SSTK
STRA
TGT
THO
THRM
TJX
TMX
TNL
TOL
TPR
TPX
TRIP
TSCO
TSLA
TTD
TTWO
TUP
UA
UAA
UAL
UBER
UEIC
UFI
UHAL
ULTA
USD
UXIN
VAC
VFC
VIAC
VIPS
VRA
VSCO
VSTO
W
WEN
WGO
WH
WHR
WISH
WMT
WOOF
WSM
WW
WWE
WWW
WYNN
YETI
YSG
YUM
YUMC
ZNGA
ZUMZ
ACI
ADM
ANDE
BF.B
BG
BGS
CAG
CALM
CCEP
CELH
CENT
CHD
CHEF
CL
CLX
COKE
COST
CPB
CVGW
DAR
DOLE
EL
ELF
EPC
FDP
FIZZ
GIS
HAIN
HLF
HRL
HSY
IPAR
JBSS
JJSF
K
KDP
KHC
KMB
KO
KR
LW
MDLZ
MED
MGPI
MKC
MNST
MO
NOMD
PEP
PG
PM
PPC
PSMT
SAFM
SENEA
SJM
SMPL
SPTN
STZ
SYY
TAP
THS
TSN
TWNK
UNFI
USNA
UVV
VGR
WBA
WDFC
WMT
ALTO
AM
APA
AR
ARCH
BKR
BOOM
BP
BRY
CCO
CDEV
CHX
CLB
CLNE
CLR
CNQ
CNX
COG
COP
CPE
CRC
CRK
CTRA
CVE
CVI
CVX
DEN
DK
DRQ
DTM
DVN
EC
ENB
EOG
EQNR
EQT
ETRN
FANG
FTI
GEVO
GPRE
HAL
HES
HESM
HFC
HLX
HP
IMO
INSW
INT
KMI
KOS
LBRT
LNG
LPG
LPI
MCF
MGY
MNRL
MPC
MRO
MTDR
MUR
NBR
NEX
NFE
NOG
NOV
OAS
OII
OKE
OSH
OVV
OXY
PAGP
PARR
PBF
PBR
PDCE
PPL
PSX
PTEN
PUMP
PXD
REGI
RES
