date,R&D,ROE,DPO,DTE,Trends,Assets,AssetsCurrent,NoncurrentAssets,AccountsPayable,AccountsPayableCurrent,AccountsReceivableNetCurrent,InventoryNet,Liabilities,LiabilitiesCurrent,PreconfirmationCurrentAssets,OtherAssetsNonCurrent,AssetsFairValueDisclosure,SellingGeneralAndAdministrativeExpense,RepaymentsOfNotesPayable,ResearchDevelopmentAndRelatedExpenses,ResearchAndDevelopmentExpense,SalesRevenueNet,DeferredRevenueCurrent,DebtCurrent,LongTermDebt,LongTermDebtCurrent,LongTermDebtNoneCurrent,OtherLongTermDebt,RepaymentsOfLongTermDebt,InterestExpenseDebt,LiabilitiesAndStockholdersEquity,StockholdersEquity
2014q2,0.13106768164177213,0,0,20600000000.0,37.333333333333336,172384000000.0,114246000000.0,40119000000.0,0,7432000000.0,19544000000.0,2660000000.0,82600000000.0,45625000000.0,0,0,0,0,0,0,11381000000.0,86833000000.0,23150000000.0,0,20600000000.0,0.0,0,0,0,0,172384000000.0,89784000000.0
2014q3,0.13210637472522735,0,0,0.0,39.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3065000000.0,23201000000.0,0,0,0,0,0,0,0,0,0,90170000000.0
2014q4,0.22546278806195694,0,0,20000000000.0,38.666666666666664,174848000000.0,116362000000.0,0,0,6932000000.0,16186000000.0,2053000000.0,82969000000.0,47415000000.0,0,0,0,0,0,0,5968000000.0,26470000000.0,19192000000.0,0,20000000000.0,1749000000.0,0,0,0,0,174848000000.0,91879000000.0
2015q1,0.41198398453679413,0,0,30100000000.0,37.333333333333336,176683000000.0,118398000000.0,0,0,6690000000.0,12427000000.0,2469000000.0,86551000000.0,40748000000.0,0,0,0,0,0,0,8952000000.0,21729000000.0,18232000000.0,0,30100000000.0,2499000000.0,0,0,0,0,176683000000.0,90132000000.0
2015q2,0.12872408634323573,0,0,30300000000.0,34.666666666666664,176223000000.0,124712000000.0,36505000000.0,0,6591000000.0,17908000000.0,2902000000.0,96140000000.0,49858000000.0,0,0,0,0,0,0,12046000000.0,93580000000.0,23223000000.0,0,30300000000.0,2499000000.0,0,0,0,0,176223000000.0,80083000000.0
2015q3,0.14534569900387653,0,0,28600000000.0,39.0,172896000000.0,121656000000.0,0,0,6630000000.0,11444000000.0,3816000000.0,95451000000.0,49399000000.0,0,0,0,0,0,0,2962000000.0,20379000000.0,21603000000.0,0,28600000000.0,750000000.0,0,0,0,0,172896000000.0,77445000000.0
2015q4,0.24634392334846192,0,0,41400000000.0,37.333333333333336,180098000000.0,127812000000.0,0,0,6936000000.0,14507000000.0,2702000000.0,103318000000.0,42643000000.0,0,0,0,0,0,0,5862000000.0,23796000000.0,20929000000.0,0,41400000000.0,750000000.0,0,0,0,0,180098000000.0,76780000000.0
2016q1,0.4306658224148848,0,0,40900000000.0,30.666666666666668,181869000000.0,128421000000.0,0,0,6759000000.0,12247000000.0,2450000000.0,107063000000.0,44354000000.0,0,0,0,0,0,0,8842000000.0,20531000000.0,20876000000.0,0,40900000000.0,0.0,0,0,0,0,181869000000.0,74806000000.0
2016q2,0.14050632911392405,0,0,40600000000.0,28.333333333333332,193468000000.0,139660000000.0,39961000000.0,0,6898000000.0,18277000000.0,2251000000.0,121471000000.0,59357000000.0,0,0,0,0,0,0,11988000000.0,85320000000.0,27468000000.0,0,40600000000.0,0.0,0,0,0,0,193468000000.0,71997000000.0
2016q3,0.15186036278296583,0,0,60200000000.0,28.0,212524000000.0,157909000000.0,0,0,6296000000.0,11129000000.0,3122000000.0,142152000000.0,58810000000.0,0,0,0,0,0,0,3106000000.0,20453000000.0,26304000000.0,0,60200000000.0,0,0,0,0,0,212524000000.0,70372000000.0
