date,DayRec,DTA,StR,ROA,ROE,DTE,deltaROA
2010q1,37.313769751693,0.008603931168550651,2.411978221415608,0.005399956800345598,0.01762632197414806,0.02808460634547591,-0.025930239949012827
2010q2,33.04459251665812,0.006045076420592959,2.723592368543509,0.011151812620675966,0.03584063098068782,0.019428173751667343,0.005751855820330368
2010q3,29.492957746478876,0.0034733528709432323,3.0515759312320916,0.016932595245848257,0.05358983167296462,0.01099278598419787,0.005780782625172291
2010q4,40.82177161152615,0.22355564995751911,2.204705882352941,0.00828377230246389,0.026739801165581077,0.7216318135070278,-0.008648822943384366
2011q1,37.76479552959106,0.2385089762916267,2.3831719128329296,0.006742496916541044,0.025590346405908664,0.9052324976594195,-0.0015412753859228466
2011q2,37.124905755214876,0.24196412960457903,2.424248578391552,0.006386365936927734,0.025264844005970368,0.9572245076267794,-0.00035613097961331025
2011q3,36.967038475999495,0.24283574177786993,2.4346013018714405,0.0062965267694576965,0.02517833115219435,0.971043075958933,-8.983916747003738e-05
2011q4,36.809999999999995,0.24371051756621967,2.444987775061125,0.0062063615205585725,0.025089605734767026,0.9852150537634409,-9.016524889912409e-05
2012q1,22.733858267716535,0.0031427468710371067,3.958852867830424,0.010145007443347853,0.04350910380704658,0.013478363679356823,0.00393864592278928
2012q2,16.26206896551724,0.0012069343866578889,5.534351145038168,0.014044327408382708,0.06409614421632448,0.005508262393590386,0.003899319965034856
2012q3,26.75098814229249,0.006841261357562801,3.3643617021276597,0.01699625868519508,0.07871287128712871,0.031683168316831684,0.002951931276812373
2012q4,36.36197440585009,0.03444996301384339,2.475113122171946,0.008559653386875199,0.04196891191709844,0.1689119170984456,-0.008436605298319882
2013q1,48.773168578993825,0.025677315002021837,1.8452768729641693,0.0027294783663566516,0.01549053356282272,0.1457257601835915,-0.005830175020518547
2013q2,18.97513644633111,0.015799161468452807,4.743048897411313,0.010941814091420391,0.06251825883727724,0.09027169149868536,0.00821233572506374
2013q3,10.123230204509701,0.00569004758948893,8.890442890442891,0.019346161804262362,0.1113095238095238,0.03273809523809524,0.00840434771284197
