date,DayRec,DTA,StR,ROA,ROE,DTE,deltaROA
2009q4,24.86026731470231,0.005403694408645911,3.6202346041055717,0.06590698410545118,0.10023726831952133,0.008218424400811527,0.04394744461618222
2010q1,90.0,0.0018229338253058355,1.0,0.02336869385693264,0.03554367796893269,0.0027726741272757643,-0.04253829024851854
2010q2,42.32020826553856,0.00025940897987418665,2.126643598615917,0.04598024168269958,0.06906292616403663,0.0003896356906292616,0.022611547825766944
2010q3,28.10971248748391,0.01411840655677887,3.2017403251660177,0.06984822011241396,0.10464236154913586,0.021151339304486774,0.023867978429714373
2010q4,23.7794696770806,0.11320058997050148,3.784777424483307,0.0863976197741837,0.13945326930181012,0.1827155933177359,0.016549399661769743
2011q1,94.44813133077191,0.12392490520669565,0.9529039773672824,0.028650698233607694,0.04602174817279696,0.1990611444530275,-0.05774692154057601
2011q2,28.205171255876426,0.10048635395313317,3.190904220489315,0.0866536895718133,0.138579220922331,0.16070083931752652,0.058002991338205606
2011q3,23.668763604181116,0.09935503902225608,3.802479990298327,0.09993084663477143,0.15965151200858593,0.15873159029212022,0.013277157062958136
2011q4,20.282802122060236,0.09826127506495237,4.43725671918443,0.11276730397708347,0.1799840510366826,0.1568314726209463,0.012836457342312035
2012q1,82.01659221442246,0.012982376424004414,1.0973389355742298,0.025299406056278603,0.040235373061140216,0.02064675974914187,-0.08746789792080487
2012q2,77.37690707350902,0.010111538042717359,1.1631377293809235,0.020658650031890234,0.03357774968394438,0.01643489254108723,-0.004640756024388369
2012q3,26.768512860396644,0.009396825396825396,3.362159133358237,0.06494476190476191,0.10530216929386767,0.015236118660539276,0.044286111872871674
2012q4,39.015205462237674,0.00925580770235351,2.306792926852836,0.04273140153215316,0.06904223413147156,0.014954848648737236,-0.02221336037260875
2013q1,76.55824250681198,0.009115216334467671,1.1755755755755757,0.020585196888672823,0.03314417102881464,0.014676385695416076,-0.022146204643480334
2013q2,39.67377354584972,0.008871736864284606,2.2685011269722013,0.041512335410798386,0.06710727603021321,0.01434171526914619,0.020927138522125563
2013q3,27.827490018049556,0.008640926307300142,3.234211922872811,0.061350576781831014,0.09955597102126665,0.014021967749474177,0.019838241371032628
