date,DayRec,DTA,StR,ROA,ROE,DTE,deltaROA
2010q1,0,0.6643803731861742,0,0.006185936700694653,-0.006029475134189569,-0.6475761284980143,0.016288626398562794
2010q2,0,0.7692900940152895,0,0.012614219700165798,-0.006498017516588825,-0.39628773123270644,0.006428282999471145
2010q3,0,0.7970148087527261,0,0.014287350601645587,-0.006555423722356857,-0.3656919977707803,0.0016731309014797885
2010q4,0,0.8070695304195213,0,0.014722040236164906,-0.006568341131633422,-0.36007971094389246,0.0004346896345193193
2011q1,0,0.8156689781131479,0,0.015163603981771087,-0.006580752326384339,-0.3539867917765743,0.0004415637456061817
2011q2,0,0.7140145117395239,0,0.03221468241466829,0.19284680719728398,4.274306265356758,0.0170510784328972
2011q3,0,0.7326949498739358,0,0.027701235156269897,0.039814609178368376,1.0530925033352594,-0.00451344725839839
2011q4,78.8586216900468,0.7508158383629225,1.14128294498659,0.02629551332337077,0.03221865397022122,0.9199392837133497,-0.0014057218328991268
2012q1,81.76133315982747,0.3157362681236902,1.1007648300458548,0.010307890653385833,0.026721418630985982,0.8184915111363822,-0.015987622669984936
2012q2,80.70932425276902,2.879095441541207,1.1151127931406541,0.07050819126380935,-0.04375043586578679,-1.786482934944917,0.060200300610423516
2012q3,79.55969887398572,-0.395379053233419,1.1312260010253512,-0.0063926000770262005,-0.006801719921003816,-0.4206829068488202,-0.07690079134083555
2012q4,80.62094233368555,12.070886568432947,1.1163352522908385,0.23287360946966315,-0.015834818571431677,-0.8207898664119233,0.23926620954668934
2013q1,81.78387161141359,0.3480360705217141,1.100461475186995,0.00787583637209201,1.1585375831317133,51.19619668758839,-0.22499777309757113
2013q2,80.99750198781699,-0.28598213045207266,1.1111453784529934,0.0003046271118967819,-0.007444799907132054,6.98913410882621,-0.007571209260195229
2013q3,26.98326659350482,-0.26947573478930065,3.3354004671051958,0.00699636833637593,0.00781943958939205,-0.30117757208927315,0.006691741224479148
