date,DayRec,DTA,StR,ROA,ROE,DTE,deltaROA
2009q2,74.86568091409791,0.16973477155263095,1.2021529611580966,0.004794783961136097,0.009894975634734411,0.3502809391400695,0.017212376093917094
2009q3,72.84481339379143,0.1523330915379569,1.235503199293949,0.046069134770088276,0.0955406705247292,0.31591662793916775,0.04127435080895218
2009q4,75.30241146568468,0.19716506281795673,1.1951808481062125,0.04848859281093963,0.09835253751346892,0.3999226026780785,0.0024194580408513564
2010q1,75.83727642438059,0.20589324714635182,1.1867514795279002,0.04895962888525094,0.0988856856925495,0.4158506791636643,0.00047103607431130817
2010q2,75.97036623658317,0.20801418786269882,1.1846724513572362,0.04907409021549862,0.0990145561439228,0.4197007502822521,0.00011446133024767963
2010q3,76.10320688511425,0.21011150322278052,1.1826045666625378,0.04918727655032335,0.09914172974251892,0.4235001270500381,0.00011318633482473167
2010q4,48.55115002960621,0.22149485772000946,1.853715101395508,0.06002215317735296,0.12371071268789584,0.4565195557760376,0.010834876627029609
2011q1,71.72912709485468,0.24086436586333718,1.254720413382194,0.0033333621032437004,0.006596851609171796,0.4766798296505182,-0.05668879107410926
2011q2,73.48561114018224,0.21210752987622936,1.2247295573049621,0.031168219536006923,0.06414876599287982,0.43654839775622206,0.027834857432763222
2011q3,74.32208969561127,0.18456367129440848,1.2109454990918334,0.05782898906979333,0.1237588932611175,0.3949817567801087,0.026660769533786405
2011q4,52.09593574753663,0.2732896563567703,1.7275819832885078,0.06533861998949862,0.14195072939087253,0.5937325591060763,0.007509630919705294
2012q1,47.26241795990204,0.2752636293012273,1.9042614382606704,0.04144893091602142,0.08974377953400793,0.5959912093219177,-0.023889689073477202
2012q2,42.2746794687518,0.27726632575430304,2.1289339418061197,0.017211620213824212,0.0371381062954683,0.598267109667379,-0.024237310702197208
2012q3,39.50538730595326,0.23738951298591854,2.278170298723725,0.05791307080901871,0.12601752565035892,0.5165541841233283,0.0407014505951945
2012q4,48.94486691593839,0.2298221865742475,1.8388036513527106,0.04695726916085025,0.0999268350894216,0.48907025787696556,-0.010955801648168458
2013q1,67.86958897395154,0.2664009760931764,1.3260725659402792,0.006217798782014737,0.012634063253316397,0.5413051950863923,-0.04073947037883552
2013q2,72.80367356679317,0.2662839923620068,1.236201356205332,0.011837211073799075,0.025106727896577315,0.5647884199889918,0.005619412291784338
